fname,Compiler for Instance,Compiler for Class,Compile Instance,build query,compile context, normalize ty,resolve_all_evars,mode check,refine.typecheck,msolve,full instance search, instance search,get_and_compile,query-compilation,static-check,optimization,runtime,elpitot - elpitime,ELPI TIME,COQ_TIME
coPset,0.0542,,0.0050,0.0035,0.0013,0.0013,,0.0009,0.0012,0.0147,0.0104,0.0011,0.5289,0.0036,0.0000,0.3081,0.0724,1.6290,2.5420,1.4540
coGset,0.1142,,0.0878,0.0483,0.0832,0.0178,,0.0105,0.0204,0.2768,0.2043,0.0210,0.5076,0.0236,0.0000,1.3547,0.4131,0.9680,3.2670,0.7620
propset,0.0236,,0.0073,0.0055,0.0040,0.0018,,0.0013,0.0020,0.0817,0.0756,0.0008,0.2349,0.0043,0.0000,0.2325,0.1090,0.3983,0.9790,0.3360
functions,0.0073,,0.0020,0.0014,0.0002,0.0004,,0.0004,0.0005,0.0103,0.0093,0.0005,0.2934,0.0013,0.0000,0.0458,0.0185,0.2370,0.5960,0.2180
hlist,,,,,,,,,,,,,,,,,,0.2320,0.2320,0.2160
sorting,0.0222,,0.0104,0.0069,0.0067,0.0027,,0.0013,0.0025,0.0285,0.0230,0.0013,0.5622,0.0056,0.0000,0.2133,0.0552,0.5127,1.3490,0.4110
nat_cancel,0.0237,0.0077,0.0094,0.0001,0.0003,0.0001,,0.0000,0.0000,0.0007,0.0006,0.0000,0.2414,0.0014,0.0000,0.1135,0.0341,0.3356,0.7260,0.3050
namespaces,0.0191,,0.0029,0.0157,0.0020,0.0054,,0.0040,0.0060,0.0630,0.0458,0.0099,0.3254,0.0072,0.0000,0.5024,0.0893,0.4707,1.3950,0.4680
telescopes,0.0013,,0.0003,0.0009,0.0002,0.0003,,0.0001,0.0003,0.0026,0.0020,0.0001,0.1247,0.0009,0.0000,0.0173,0.0045,0.2676,0.4150,0.2980
binders,0.0501,,0.0160,0.0140,0.0068,0.0054,,0.0031,0.0052,0.0575,0.0426,0.0063,0.5448,0.0088,0.0000,0.5302,0.1151,0.7381,1.9370,0.7550
